Region,Crop,Date,Rainfall_mm,Temperature_C,Soil_moisture_pct,NDVI,LST_C,Yield_kg_ha,Area_cultivated_ha,Market_price_Birr_kg,Supply_tons,Demand_index,Season
Amhara,Coffee,2022-05-03,369.2,25.7,34.6,0.881,44.1,1872.5,98.58,20.62,3571.7,1.39,Belg
Oromia,Sesame,2021-08-25,40.4,34.8,28.6,0.283,26.7,2737.2,94.79,46.38,1310.8,1.59,Meher
Tigray,Wheat,2015-02-22,171.1,24.6,21.7,0.703,45.8,4106.9,13.61,58.61,3166.4,1.65,Bega
Somali,Sesame,2018-06-17,226.8,19.4,36.5,0.589,31.0,2742.5,69.39,22.0,3215.4,0.63,Meher
Benishangul-Gumuz,Wheat,2023-07-29,22.0,31.2,26.8,0.116,39.3,2361.2,14.1,16.53,1137.8,1.76,Meher
Oromia,Coffee,2023-04-30,80.7,21.4,28.3,0.787,25.3,2736.4,42.77,10.06,3193.0,1.62,Belg
Oromia,Sorghum,2015-09-17,37.8,25.7,33.7,0.433,36.1,2861.2,47.64,94.42,3504.1,0.52,Meher
SNNPR,Coffee,2021-09-02,19.2,28.7,41.4,0.667,25.3,2976.4,3.9,58.28,4849.8,0.98,Meher
Somali,Maize,2020-11-01,93.6,29.6,39.4,0.509,40.2,2376.0,72.04,26.29,4925.5,1.61,Bega
Benishangul-Gumuz,Sesame,2022-11-15,42.2,23.5,43.3,0.363,31.9,2871.8,47.85,77.21,2629.6,1.8,Bega
Gambella,Wheat,2017-06-25,239.9,30.3,38.9,0.357,35.8,1799.1,38.45,23.23,1343.1,0.84,Meher
Oromia,Barley,2017-11-16,78.6,36.7,47.3,0.708,31.1,1482.6,27.28,56.07,4765.0,1.77,Bega
Somali,Sesame,2019-04-04,46.1,26.6,29.9,0.365,25.1,3640.1,9.06,23.12,2238.2,1.12,Belg
Somali,Teff,2020-02-16,155.1,24.8,10.2,0.173,29.7,1901.6,83.46,16.5,631.7,1.58,Bega
Tigray,Wheat,2019-08-05,15.1,15.8,38.4,0.536,32.9,2758.2,67.38,69.69,4024.1,1.71,Meher
Amhara,Barley,2020-07-07,177.3,20.8,30.7,0.343,15.3,1653.5,5.28,31.99,2484.8,1.5,Meher
SNNPR,Sorghum,2021-07-02,38.5,27.4,32.0,0.864,45.7,1183.2,23.79,15.22,382.9,1.32,Meher
Somali,Teff,2019-07-13,263.0,29.4,16.5,0.457,24.7,3174.7,2.21,63.26,1630.4,0.76,Meher
SNNPR,Teff,2022-09-03,68.5,18.7,18.0,0.276,30.1,1384.3,58.17,60.65,4291.1,1.71,Meher
Oromia,Teff,2016-07-06,151.2,25.7,19.1,0.44,29.1,3214.9,13.2,88.32,2689.0,0.71,Meher
Gambella,Coffee,2022-03-27,89.2,33.6,16.6,0.475,31.8,3041.8,58.22,27.28,3008.4,0.86,Belg
Tigray,Sorghum,2016-08-27,27.7,24.3,48.4,0.544,28.2,2920.1,96.38,15.12,2809.3,1.84,Meher
Benishangul-Gumuz,Barley,2016-06-30,19.5,18.3,24.4,0.548,29.4,3315.2,19.79,94.26,1873.5,0.79,Meher
Gambella,Sesame,2024-09-28,183.3,29.5,20.0,0.887,34.1,2571.9,13.08,89.91,2870.7,0.64,Meher
Amhara,Wheat,2017-11-06,43.8,17.7,38.2,0.407,33.1,1024.6,31.73,83.49,3131.7,0.99,Bega
Gambella,Wheat,2022-09-30,129.1,18.0,15.8,0.814,31.4,1967.1,41.42,77.98,1001.7,0.83,Meher
Benishangul-Gumuz,Wheat,2016-04-02,6.1,31.5,20.7,0.833,25.5,2773.1,6.37,46.84,4718.5,0.64,Belg
Gambella,Teff,2022-08-05,157.1,25.3,19.7,0.329,30.5,3604.3,75.97,61.92,3039.5,1.31,Meher
Oromia,Sorghum,2022-01-07,90.3,28.9,27.4,0.372,24.0,2629.7,2.24,88.95,3008.7,1.47,Bega
Benishangul-Gumuz,Maize,2022-10-05,176.5,35.3,32.8,0.888,45.0,1414.2,84.54,81.92,2520.4,0.82,Meher
SNNPR,Coffee,2018-02-18,134.6,31.8,10.3,0.494,17.6,2195.6,98.5,63.74,1301.1,1.85,Bega
Somali,Sorghum,2021-10-22,36.0,24.2,45.4,0.618,33.9,2394.2,11.54,10.71,3687.7,1.51,Meher
Amhara,Wheat,2020-08-19,95.7,29.9,49.6,0.514,37.8,2072.1,5.88,71.68,2901.8,2.0,Meher
Tigray,Coffee,2019-10-17,89.4,21.6,18.1,0.624,21.5,1594.2,53.09,22.77,2878.2,1.16,Meher
Somali,Coffee,2022-10-09,25.7,33.5,20.5,0.493,34.0,1565.0,77.2,64.79,3227.0,1.74,Meher
Amhara,Sorghum,2015-04-28,65.6,35.1,40.4,0.897,4.8,4660.4,38.01,25.54,815.9,1.55,Belg
SNNPR,Sesame,2019-08-24,151.8,22.7,39.4,0.304,31.2,1097.6,82.05,36.99,2228.3,1.48,Meher
Amhara,Sorghum,2018-01-11,10.0,21.1,48.8,0.509,30.8,3457.2,90.05,19.05,1847.2,1.09,Bega
Gambella,Coffee,2023-04-20,0.9,29.6,23.8,0.446,17.4,1370.3,68.49,13.34,4202.0,1.24,Belg
Oromia,Coffee,2018-11-23,190.0,18.7,42.3,0.151,37.1,2501.1,88.47,48.51,3592.5,0.81,Bega
Tigray,Maize,2019-11-23,174.2,21.3,46.5,0.861,30.7,3685.7,30.82,42.1,1267.1,0.87,Bega
Tigray,Sorghum,2021-06-22,144.4,37.5,22.5,0.294,35.9,2327.3,65.82,89.93,3144.7,0.74,Meher
Somali,Sorghum,2018-08-05,36.3,27.7,21.2,0.689,25.8,1750.6,2.51,36.82,306.3,1.71,Meher
Somali,Barley,2015-11-05,158.0,30.5,25.7,0.458,26.3,2366.7,93.77,76.41,4571.9,1.91,Bega
Oromia,Sorghum,2016-02-07,98.7,17.9,37.5,0.473,23.0,3329.4,98.79,60.68,74.9,0.64,Bega
SNNPR,Teff,2019-04-28,95.6,22.6,42.1,0.333,23.4,2654.7,14.96,13.1,862.5,1.1,Belg
Benishangul-Gumuz,Coffee,2024-01-02,39.4,25.3,16.2,0.616,40.3,3564.7,88.57,61.45,4056.8,0.96,Bega
Gambella,Wheat,2024-07-31,79.8,23.3,44.5,0.864,27.5,3706.9,89.56,51.73,2192.6,0.93,Meher
Oromia,Barley,2015-06-18,65.1,25.8,45.0,0.708,35.5,2633.2,26.65,97.04,1140.4,1.47,Meher
Somali,Wheat,2017-07-25,28.0,26.3,30.4,0.665,27.0,3760.3,17.65,81.74,479.0,0.75,Meher
Tigray,Teff,2023-07-09,130.0,24.3,39.2,0.811,19.3,2469.2,69.27,62.88,926.0,1.66,Meher
SNNPR,Barley,2017-06-14,64.9,25.0,13.8,0.206,29.2,3195.1,83.0,55.17,3293.4,0.76,Meher
SNNPR,Maize,2021-03-24,128.1,29.2,17.7,0.614,34.8,1966.7,33.37,83.06,3799.0,1.4,Belg
SNNPR,Maize,2018-05-13,64.7,22.5,21.1,0.663,40.8,2315.7,71.57,55.63,4561.9,1.68,Belg
Gambella,Teff,2018-03-06,23.0,25.9,31.3,0.142,25.2,2724.7,79.91,60.54,2860.2,1.98,Belg
Somali,Maize,2016-04-10,165.0,18.1,31.8,0.394,23.0,2557.2,15.89,96.46,1868.8,0.6,Belg
Gambella,Sesame,2015-03-07,18.0,23.5,18.5,0.871,27.2,1641.9,63.61,59.4,3549.4,1.38,Belg
Benishangul-Gumuz,Maize,2015-05-23,168.3,22.5,30.8,0.264,40.4,2748.0,51.3,28.56,2801.8,0.87,Belg
Oromia,Barley,2018-05-05,80.3,24.9,36.7,0.898,18.9,1412.3,70.03,21.3,913.9,0.98,Belg
Somali,Wheat,2021-12-10,78.5,29.6,45.0,0.35,21.5,2498.5,0.66,14.63,3594.8,0.83,Bega
Tigray,Sorghum,2023-02-25,71.1,25.6,49.6,0.145,22.9,3057.4,89.48,65.15,781.9,0.79,Bega
Tigray,Wheat,2017-03-17,233.5,16.4,42.7,0.653,24.1,1866.7,39.04,60.81,3181.4,1.82,Belg
Amhara,Coffee,2024-01-12,124.9,29.4,48.3,0.45,20.1,3145.3,75.26,50.7,4585.1,1.78,Bega
Oromia,Wheat,2017-07-10,6.1,24.3,46.8,0.62,35.4,3103.1,22.56,92.11,3850.9,0.72,Meher
Oromia,Sorghum,2024-11-17,25.1,27.2,37.8,0.132,29.5,2562.7,86.65,78.44,3435.6,0.72,Bega
Benishangul-Gumuz,Wheat,2016-12-17,119.9,17.0,41.3,0.503,23.0,2614.1,11.44,27.95,4756.8,1.44,Bega
Tigray,Wheat,2020-06-12,134.4,22.1,45.0,0.451,35.2,3201.5,81.56,64.41,1139.6,0.71,Meher
Benishangul-Gumuz,Coffee,2023-10-06,167.2,24.0,23.7,0.495,30.1,2405.8,88.27,42.62,702.7,1.84,Meher
Somali,Coffee,2022-09-13,552.5,28.0,21.2,0.692,36.1,2636.3,41.39,34.29,1098.3,1.4,Meher
Amhara,Maize,2019-05-19,319.6,28.1,32.8,0.468,30.1,2092.3,39.74,86.74,4029.1,0.71,Belg
Somali,Sorghum,2019-02-19,60.2,21.3,18.1,0.735,24.8,1264.3,12.95,40.2,1371.0,1.06,Bega
SNNPR,Wheat,2016-09-02,88.4,28.7,26.1,0.464,20.4,1666.7,13.17,29.44,2125.3,1.86,Meher
Benishangul-Gumuz,Wheat,2021-09-25,166.8,20.3,47.3,0.87,29.9,3432.4,19.37,16.5,652.9,1.42,Meher
SNNPR,Sesame,2019-01-19,222.3,24.8,21.8,0.784,14.4,2049.4,94.37,38.68,4044.9,0.65,Bega
SNNPR,Sesame,2020-04-14,82.6,23.4,39.2,0.84,15.1,2493.2,21.39,92.2,4027.4,1.3,Belg
SNNPR,Sesame,2023-10-25,176.4,29.5,43.5,0.778,41.6,1938.6,67.51,84.81,3582.4,1.25,Meher
Oromia,Teff,2022-05-11,125.3,21.4,39.7,0.118,35.4,3258.5,58.56,65.6,2520.9,1.67,Belg
Benishangul-Gumuz,Coffee,2017-07-23,20.5,26.5,39.6,0.313,23.6,2767.6,41.75,25.9,1589.1,1.91,Meher
Benishangul-Gumuz,Sesame,2018-12-25,61.4,12.8,37.9,0.857,31.0,1982.2,99.77,14.71,3139.5,1.89,Bega
SNNPR,Coffee,2017-12-27,208.2,22.4,35.2,0.842,42.4,2799.7,91.4,23.49,3961.0,0.9,Bega
Amhara,Barley,2019-09-19,308.1,31.3,26.6,0.377,34.1,3327.0,29.17,43.41,4209.4,1.79,Meher
Gambella,Maize,2024-04-15,121.5,21.4,38.8,0.291,26.1,3003.8,30.55,55.36,3444.6,1.62,Belg
Tigray,Barley,2021-10-08,151.6,25.1,16.1,0.686,18.7,3314.6,80.58,89.16,1880.1,1.94,Meher
Tigray,Maize,2023-06-16,18.2,23.2,20.5,0.694,27.4,1496.6,65.79,97.89,3564.2,1.2,Meher
Tigray,Sorghum,2023-09-21,140.9,32.4,40.9,0.191,31.5,3721.8,79.15,32.77,4475.8,1.29,Meher
Amhara,Maize,2015-05-06,22.8,23.5,28.6,0.377,24.2,2438.5,21.8,80.15,2002.6,0.96,Belg
Oromia,Sesame,2022-09-23,66.7,30.8,17.0,0.896,42.2,4386.5,59.71,75.97,2522.2,1.72,Meher
Amhara,Teff,2022-12-25,48.2,18.0,39.8,0.354,34.4,3301.8,20.29,44.43,4631.8,1.84,Bega
Amhara,Sorghum,2023-08-26,71.0,16.0,49.9,0.218,23.3,2749.5,24.36,15.0,4461.9,0.86,Meher
Somali,Coffee,2017-12-24,19.5,29.6,33.0,0.246,33.5,2736.2,59.33,97.71,2965.3,0.9,Bega
Gambella,Sorghum,2015-01-07,107.1,25.0,15.1,0.284,23.9,2427.4,1.73,35.51,1429.0,1.71,Bega
Tigray,Barley,2022-05-16,81.6,21.0,32.1,0.793,30.3,2032.8,76.35,42.14,3056.1,0.77,Belg
Gambella,Coffee,2015-03-22,46.9,34.0,19.3,0.813,39.2,1995.9,8.3,57.94,4628.9,1.47,Belg
SNNPR,Sorghum,2016-03-22,44.3,25.0,22.4,0.401,23.1,781.8,9.46,55.23,3586.9,1.58,Belg
Gambella,Teff,2021-11-25,74.3,25.0,32.1,0.806,37.4,2705.2,46.65,12.51,3496.2,1.66,Bega
Oromia,Sorghum,2018-02-01,28.5,15.3,26.4,0.693,36.6,1171.3,45.16,83.0,1957.1,0.68,Bega
Gambella,Sesame,2018-07-25,45.2,26.3,40.6,0.643,37.6,1501.1,44.06,47.54,4987.9,1.29,Meher
SNNPR,Teff,2023-03-22,114.5,26.8,21.7,0.56,40.0,2366.2,93.92,67.26,695.0,0.85,Belg
Tigray,Coffee,2024-10-15,146.6,17.2,22.2,0.39,26.5,3834.5,50.91,57.32,4144.5,1.9,Meher
Amhara,Sorghum,2018-12-29,129.8,23.2,44.7,0.625,36.0,2455.5,50.61,58.94,333.7,0.8,Bega
Benishangul-Gumuz,Sesame,2019-01-13,324.0,21.2,41.7,0.684,26.8,2288.8,87.26,56.25,2314.9,0.5,Bega
Gambella,Barley,2017-02-25,17.5,24.1,12.7,0.801,24.1,3000.3,82.18,63.13,2919.5,1.71,Bega
Gambella,Coffee,2019-06-19,152.8,29.0,23.0,0.148,34.1,3002.5,14.06,17.96,1577.8,0.93,Meher
Amhara,Sorghum,2016-07-01,150.9,35.2,42.6,0.118,27.2,2603.1,67.76,11.99,913.0,1.74,Meher
Amhara,Sesame,2024-10-10,159.1,20.3,46.1,0.548,26.0,2499.4,79.21,24.28,3334.4,1.16,Meher
Tigray,Sesame,2021-08-12,23.6,31.0,46.8,0.704,27.0,2052.0,35.89,88.51,2733.0,1.79,Meher
Gambella,Wheat,2017-02-12,11.8,21.6,49.1,0.664,37.2,3398.5,64.16,49.66,2580.3,1.07,Bega
Amhara,Sesame,2020-09-11,69.3,20.6,17.7,0.418,20.2,3063.3,56.6,72.97,422.2,1.31,Meher
Oromia,Maize,2016-08-07,493.6,25.6,16.0,0.243,32.1,3460.1,61.61,53.86,4572.6,0.94,Meher
Tigray,Wheat,2016-02-19,189.7,20.1,17.9,0.869,47.4,2148.4,26.5,13.73,2221.8,1.67,Bega
SNNPR,Wheat,2016-09-10,337.5,23.3,22.0,0.521,32.7,3113.0,91.46,91.64,3726.3,0.9,Meher
SNNPR,Coffee,2015-09-05,91.8,23.5,23.8,0.536,34.6,2048.9,89.94,75.72,3630.0,1.93,Meher
Tigray,Wheat,2023-07-31,17.1,23.4,16.1,0.263,24.3,2286.7,9.86,72.87,3575.2,1.93,Meher
Gambella,Sesame,2023-11-29,54.2,14.8,20.9,0.231,40.9,3124.7,4.63,67.44,4737.5,0.85,Bega
Benishangul-Gumuz,Coffee,2015-02-24,154.9,22.7,38.2,0.687,34.5,1589.6,34.64,38.82,507.3,0.73,Bega
Somali,Coffee,2020-10-02,28.4,30.9,26.1,0.843,22.8,1053.2,62.01,50.94,3893.4,1.18,Meher
SNNPR,Sesame,2023-11-17,36.4,24.0,34.6,0.539,32.0,2618.7,51.06,48.0,4186.3,1.6,Bega
Gambella,Sorghum,2024-02-29,127.4,28.7,47.8,0.375,33.8,3137.7,62.15,32.64,1185.0,1.76,Bega
Benishangul-Gumuz,Barley,2019-01-10,111.6,15.6,42.7,0.158,33.3,2911.4,44.89,35.39,4086.9,1.23,Bega
Tigray,Wheat,2017-10-30,58.4,26.9,30.5,0.604,34.9,2701.5,88.67,39.91,3874.6,1.23,Meher
Tigray,Wheat,2023-05-30,72.0,31.0,25.2,0.49,35.6,3068.1,18.55,25.4,69.7,1.84,Belg
Amhara,Wheat,2022-02-24,159.6,21.6,48.0,0.16,25.8,2157.6,96.66,21.79,1100.3,1.59,Bega
SNNPR,Maize,2022-07-12,166.3,17.4,31.2,0.288,23.2,2442.1,2.02,96.66,4328.2,1.1,Meher
Oromia,Sesame,2023-10-18,150.7,23.3,32.6,0.585,25.8,3005.4,33.83,39.8,1388.7,1.42,Meher
Tigray,Coffee,2017-12-03,156.8,27.7,42.6,0.8,37.6,1572.3,20.71,21.77,2608.3,1.2,Bega
Oromia,Sorghum,2024-05-04,14.8,27.9,16.0,0.1,29.2,3071.1,95.87,54.59,1770.9,0.85,Belg
Somali,Sorghum,2019-06-18,106.4,24.1,34.9,0.54,28.5,2503.4,44.93,75.68,3764.9,1.17,Meher
Oromia,Coffee,2020-06-19,208.8,16.4,10.5,0.275,46.6,3151.1,32.22,46.16,3153.8,1.8,Meher
Benishangul-Gumuz,Coffee,2023-05-11,70.7,22.6,17.2,0.338,38.5,1804.5,40.74,67.88,4287.9,1.88,Belg
Oromia,Sesame,2019-11-08,80.9,24.3,31.9,0.757,27.1,1644.6,90.46,57.79,3419.7,0.6,Bega
Oromia,Teff,2023-05-10,85.9,23.1,37.5,0.305,43.5,2524.6,14.73,46.9,635.4,1.24,Belg
Benishangul-Gumuz,Sesame,2022-01-14,89.6,27.5,24.2,0.414,31.6,1048.4,53.53,96.64,3726.7,1.54,Bega
Oromia,Coffee,2021-07-08,15.3,24.4,30.2,0.566,28.4,2748.2,39.07,27.26,1854.0,0.98,Meher
Tigray,Sorghum,2024-11-30,131.5,30.2,35.8,0.626,28.6,3077.5,29.62,82.32,2569.7,0.89,Bega
Benishangul-Gumuz,Maize,2017-01-20,46.3,31.5,28.0,0.619,37.4,3180.2,22.63,91.98,3753.7,1.13,Bega
Oromia,Teff,2017-12-07,72.7,32.8,45.5,0.525,35.0,2861.4,93.43,54.76,3235.1,1.62,Bega
Oromia,Maize,2019-03-03,66.0,31.3,45.6,0.288,43.8,2308.9,8.93,27.36,3872.1,1.5,Belg
Benishangul-Gumuz,Sesame,2020-11-29,124.1,24.9,26.9,0.703,35.7,1639.9,91.93,37.84,2011.8,1.12,Bega
Benishangul-Gumuz,Sesame,2015-07-24,98.1,26.0,31.7,0.343,25.4,1825.0,18.16,14.05,1825.7,1.57,Meher
Oromia,Barley,2023-07-31,8.8,33.4,27.1,0.491,36.7,3126.4,44.13,61.24,2094.4,0.99,Meher
SNNPR,Coffee,2018-03-24,49.8,22.0,25.4,0.826,29.4,2224.4,4.88,84.45,1124.8,1.1,Belg
Oromia,Maize,2024-03-21,40.7,18.8,43.0,0.291,40.7,1623.8,22.56,25.07,4690.9,1.14,Belg
Tigray,Teff,2016-09-27,73.9,26.7,39.9,0.345,35.8,2260.6,26.4,52.32,2515.8,1.6,Meher
SNNPR,Barley,2020-06-09,64.4,30.6,29.6,0.409,33.3,2717.7,90.7,70.33,4162.5,1.68,Meher
Somali,Wheat,2017-09-22,51.0,28.4,13.3,0.142,23.1,4061.1,4.41,24.5,3490.3,1.5,Meher
Amhara,Barley,2024-11-24,99.5,20.7,24.5,0.509,27.5,1926.8,90.29,35.65,3548.1,0.84,Bega
SNNPR,Barley,2017-09-27,117.1,23.9,16.1,0.116,37.8,2736.0,9.71,75.44,3722.0,1.02,Meher
Somali,Coffee,2022-12-10,111.2,25.9,45.4,0.837,24.9,2287.5,8.18,10.21,3425.3,0.57,Bega
Benishangul-Gumuz,Wheat,2024-10-10,254.8,21.4,33.2,0.451,33.1,2557.3,36.38,32.31,3060.1,1.45,Meher
Amhara,Coffee,2019-11-18,60.9,16.3,26.1,0.323,29.2,2933.8,71.91,94.29,347.2,0.61,Bega
Gambella,Teff,2023-01-12,23.4,22.9,37.3,0.694,29.8,2989.0,91.07,39.88,1978.0,0.64,Bega
Tigray,Sesame,2023-04-20,98.2,16.4,11.5,0.823,22.8,2630.5,36.07,61.89,418.8,1.94,Belg
Benishangul-Gumuz,Maize,2024-04-04,178.1,19.6,13.0,0.791,30.4,3869.6,4.34,17.26,2030.4,1.99,Belg
Oromia,Barley,2021-11-09,56.1,25.0,17.0,0.115,35.0,2800.5,55.06,49.72,934.5,1.88,Bega
Amhara,Coffee,2016-12-23,42.6,28.7,14.1,0.186,31.0,2305.9,65.89,32.39,919.8,1.37,Bega
Somali,Maize,2016-10-27,58.6,30.6,10.8,0.182,27.6,1130.0,16.54,36.62,2146.7,0.65,Meher
Benishangul-Gumuz,Coffee,2024-11-25,83.0,19.4,24.3,0.618,37.7,3246.4,43.23,85.74,3750.4,0.82,Bega
Oromia,Barley,2020-07-28,94.9,29.4,28.0,0.427,27.1,1992.0,65.65,42.89,1276.0,1.95,Meher
Somali,Barley,2018-02-10,71.7,32.0,36.3,0.748,22.3,2977.0,53.97,21.83,1641.8,0.54,Bega
Benishangul-Gumuz,Wheat,2019-06-19,2.6,27.5,45.7,0.434,26.0,959.8,94.57,75.96,2431.2,1.08,Meher
Amhara,Teff,2024-04-26,260.0,25.2,43.5,0.696,23.2,3513.3,18.41,41.61,1463.8,0.74,Belg
Amhara,Sesame,2015-08-20,262.0,26.8,11.7,0.119,36.0,3108.7,91.83,61.8,2068.7,1.21,Meher
SNNPR,Maize,2021-01-22,128.0,21.0,20.8,0.306,31.8,2993.7,41.84,27.82,888.0,0.75,Bega
Oromia,Sorghum,2019-04-07,46.1,25.0,20.5,0.199,31.7,3042.8,83.7,20.25,1487.9,0.79,Belg
Amhara,Coffee,2017-06-01,16.2,24.7,47.1,0.754,27.8,3993.7,3.4,79.76,2199.1,1.78,Meher
SNNPR,Wheat,2020-01-25,57.3,27.9,28.0,0.218,33.7,3738.7,0.93,68.73,1831.8,1.22,Bega
Amhara,Coffee,2018-02-09,63.7,24.3,30.6,0.281,39.6,2295.8,82.29,57.89,807.6,1.56,Bega
Somali,Barley,2018-11-09,34.9,33.7,42.5,0.279,28.3,1511.3,33.06,76.68,4660.2,1.42,Bega
Gambella,Barley,2019-02-23,54.2,31.1,26.7,0.868,42.7,2936.6,72.1,47.5,1225.3,1.75,Bega
Tigray,Barley,2015-12-11,200.9,21.2,18.9,0.711,38.4,3284.5,14.99,37.7,2778.7,1.83,Bega
Somali,Coffee,2017-05-27,100.9,22.4,10.3,0.14,22.3,2651.7,48.77,11.34,460.8,0.71,Belg
SNNPR,Barley,2020-01-05,49.9,14.9,10.6,0.872,37.7,1550.6,12.61,77.05,4090.1,1.73,Bega
Gambella,Sesame,2018-11-12,119.9,27.2,40.1,0.243,30.2,2310.5,11.06,12.64,3058.7,0.84,Bega
SNNPR,Wheat,2017-11-21,98.3,24.8,37.7,0.121,29.2,2424.8,6.68,88.23,482.0,0.54,Bega
SNNPR,Coffee,2023-10-16,46.0,30.0,18.7,0.83,42.6,2784.9,83.08,39.28,1677.2,1.14,Meher
SNNPR,Sorghum,2018-10-10,256.9,29.3,37.8,0.132,33.1,3175.1,44.8,21.04,3364.9,1.26,Meher
Gambella,Coffee,2015-11-10,157.3,24.0,18.2,0.871,14.5,2320.4,90.43,96.07,2943.6,1.91,Bega
Benishangul-Gumuz,Teff,2019-09-26,28.3,27.6,20.4,0.374,21.9,1563.1,26.26,61.77,2485.5,1.79,Meher
Amhara,Coffee,2017-12-03,48.0,20.4,42.3,0.21,27.0,3375.0,90.0,50.3,1382.1,1.18,Bega
Gambella,Barley,2024-01-19,200.2,29.9,43.2,0.713,19.4,2263.3,4.59,47.62,1168.2,0.57,Bega
Amhara,Coffee,2022-01-03,11.1,21.9,31.8,0.793,23.9,2659.2,16.74,55.92,236.2,1.21,Bega
SNNPR,Barley,2016-01-29,253.4,27.1,31.8,0.196,41.5,2157.0,87.87,12.52,126.9,0.86,Bega
Tigray,Sesame,2023-08-18,143.1,34.2,29.2,0.732,28.3,2364.5,66.86,25.01,623.2,1.09,Meher
Tigray,Teff,2019-07-07,151.0,28.9,27.5,0.854,31.4,2248.8,74.37,29.19,3715.6,1.87,Meher
Oromia,Maize,2024-03-19,51.4,22.2,19.9,0.266,24.6,1747.6,34.28,15.83,2813.1,1.87,Belg
Oromia,Barley,2024-06-12,138.5,14.4,10.8,0.367,12.6,3053.9,38.01,81.74,4404.3,0.56,Meher
SNNPR,Maize,2018-12-29,43.4,21.0,39.2,0.649,32.8,2593.1,57.93,74.19,2851.9,0.59,Bega
Amhara,Maize,2023-04-24,110.6,18.0,36.1,0.599,30.6,1475.2,90.63,69.69,4917.3,0.93,Belg
Amhara,Coffee,2022-10-17,71.2,22.9,22.1,0.222,33.9,3241.3,8.02,12.06,4068.4,1.6,Meher
Benishangul-Gumuz,Barley,2018-02-02,108.8,19.8,37.4,0.562,32.7,704.6,98.77,69.0,4535.9,1.07,Bega
Somali,Sesame,2024-04-28,70.4,14.5,47.7,0.197,41.7,4036.7,79.96,52.3,3253.9,0.77,Belg
Benishangul-Gumuz,Sorghum,2016-01-03,135.2,24.2,26.8,0.442,36.9,2221.7,16.38,64.77,4786.0,0.52,Bega
Gambella,Maize,2015-04-25,128.4,26.1,46.5,0.453,22.2,1530.0,23.22,44.32,3135.2,1.07,Belg
Somali,Wheat,2020-06-01,133.8,21.5,45.6,0.248,30.8,1939.6,54.29,62.39,4927.7,1.19,Meher
Tigray,Wheat,2015-07-21,210.8,14.5,44.4,0.809,20.4,2184.5,2.32,34.21,2304.6,1.31,Meher
Gambella,Wheat,2016-10-08,191.1,21.4,28.5,0.239,41.1,3272.4,90.86,26.0,4582.2,0.89,Meher
Somali,Sorghum,2021-04-14,127.0,32.7,42.6,0.11,23.1,2279.9,3.57,43.23,4856.9,1.45,Belg
SNNPR,Barley,2015-05-17,27.1,27.0,29.8,0.409,30.7,2386.1,61.91,42.57,1362.7,1.66,Belg
Amhara,Maize,2019-07-10,307.0,32.0,19.7,0.488,31.2,2301.5,25.49,70.35,2418.2,1.96,Meher
Amhara,Sesame,2022-09-17,129.0,23.6,39.4,0.548,33.7,3347.1,33.69,26.2,4897.0,1.37,Meher
Oromia,Sorghum,2018-11-20,141.5,21.1,12.0,0.702,21.5,2771.0,53.35,96.06,439.1,0.69,Bega
Somali,Sorghum,2021-09-20,100.4,32.2,45.7,0.416,34.1,3286.4,75.18,99.74,483.4,0.75,Meher
Somali,Coffee,2019-12-19,16.5,28.5,28.3,0.638,21.9,3102.3,87.27,68.42,2943.3,1.11,Bega
Gambella,Sorghum,2022-01-23,30.8,6.6,49.2,0.653,27.1,2568.8,34.8,58.98,4733.3,1.29,Bega
Amhara,Teff,2024-03-25,158.9,24.2,33.7,0.586,41.6,2025.7,65.18,26.55,2312.5,0.93,Belg
Amhara,Sesame,2016-02-01,44.0,27.3,28.7,0.67,31.3,4030.1,6.44,86.71,4451.8,0.98,Bega
SNNPR,Sesame,2023-04-01,76.2,27.9,14.9,0.306,17.9,2267.8,51.32,73.38,1979.9,1.19,Belg
Somali,Teff,2023-11-29,28.2,25.3,45.5,0.423,32.8,1336.7,93.55,80.73,2418.5,1.27,Bega
Amhara,Maize,2019-09-26,170.2,28.3,46.2,0.22,25.4,2494.9,97.95,42.07,1571.7,1.47,Meher
Amhara,Sesame,2023-07-26,55.5,22.8,39.6,0.102,45.8,3155.6,23.26,73.32,3813.9,0.5,Meher
Tigray,Barley,2024-06-27,19.6,29.3,45.7,0.753,29.8,3262.6,22.72,55.16,4937.3,1.55,Meher
Oromia,Maize,2016-05-02,45.0,29.5,27.7,0.214,33.9,2027.5,14.92,24.92,197.1,1.55,Belg
Somali,Coffee,2022-09-18,151.8,19.1,43.7,0.119,25.5,2052.2,52.99,94.35,3371.4,0.84,Meher
Gambella,Barley,2015-05-16,241.3,17.7,37.6,0.484,45.4,3978.0,70.24,14.59,291.1,1.59,Belg
Somali,Coffee,2017-08-19,84.7,22.3,20.7,0.592,31.8,4619.5,26.06,41.25,2775.2,0.64,Meher
Gambella,Teff,2018-09-03,68.0,22.0,38.1,0.242,20.8,2800.0,54.93,52.81,2201.8,1.2,Meher
Somali,Maize,2016-06-14,169.5,25.3,26.5,0.851,23.9,2205.0,1.42,45.96,748.2,1.57,Meher
Tigray,Coffee,2019-11-06,92.1,24.2,17.9,0.295,23.8,1741.5,10.54,58.6,1193.8,1.54,Bega
SNNPR,Wheat,2018-10-20,178.1,18.3,13.8,0.842,24.1,1979.9,16.06,68.7,3462.4,1.46,Meher
